"study","usual","edu","beh","cog","relax","support","r","n"
1,0,0,1,0,0,0,2,220
1,1,0,0,0,0,0,2,221
3,0,0,1,0,0,0,7,128
3,1,0,0,0,0,0,16,133
4,0,0,1,1,0,1,5,89
4,1,0,0,0,0,0,5,91
5,0,1,0,1,1,0,3,67
5,1,0,0,0,0,0,8,66
6,0,0,3,0,0,0,12,293
6,1,0,0,0,0,0,10,292
8,0,0,0,2,0,0,168,1238
8,1,0,0,0,0,0,172,1243
9,0,0,0,1,0,0,70,397
9,1,0,0,0,0,0,81,372
10,0,1,0,0,0,0,38,692
10,1,0,0,0,0,0,27,684
11,0,1,1,0,1,0,1,87
11,1,0,0,0,0,0,3,91
13,0,1,2,0,1,0,0,48
13,1,0,0,0,0,0,1,45
15,0,1,0,1,0,0,0,30
15,0,1,0,1,0,0,5,46
15,1,0,0,0,0,0,2,41
16,0,0,1,0,0,0,15,277
16,1,0,0,0,0,0,23,320
17,0,0,0,3,1,0,76,1168
17,1,0,0,0,0,0,75,1160
18,0,1,1,0,0,0,7,53
18,1,0,0,0,0,0,12,63
23,0,1,0,1,1,0,2,16
23,0,1,0,0,1,0,3,16
23,1,0,0,0,0,0,0,14
25,0,0,2,1,0,1,2,53
25,1,0,0,0,0,0,1,40
26,0,0,0,1,0,1,0,22
26,1,0,0,0,0,0,3,22
28,0,1,2,0,1,0,0,60
28,0,1,0,1,0,0,5,61
28,1,0,0,0,0,0,4,61
29,0,0,0,1,0,0,0,35
29,0,0,1,0,0,0,0,42
29,1,0,0,0,0,0,1,29
32,0,0,1,0,2,0,7,76
32,1,0,0,0,0,0,11,80
33,0,0,1,1,0,0,2,47
33,1,0,0,0,0,0,5,51
34,0,1,2,0,0,1,29,189
34,1,0,0,0,0,0,25,193
35,0,0,0,1,0,0,0,53
35,1,0,0,0,0,0,1,47
37,0,0,0,2,0,0,188,1503
37,1,0,0,0,0,0,14,408
38,0,1,0,1,0,0,0,101
38,1,0,0,0,0,0,0,97
39,0,0,0,1,0,0,1,33
39,0,1,0,0,0,0,2,33
39,1,0,0,0,0,0,0,32
40,0,0,2,1,0,0,1,151
40,1,0,0,0,0,0,3,151
44,0,1,3,1,0,0,1,48
44,1,0,0,0,0,0,6,45
45,0,1,0,0,1,0,2,56
45,1,0,0,0,0,0,3,58
46,0,0,0,1,0,0,0,53
46,1,0,0,0,0,0,1,47
48,0,1,1,0,0,0,4,196
48,1,0,0,0,0,0,2,196
49,0,1,1,0,0,1,14,137
49,1,0,0,0,0,0,15,131
51,0,1,0,1,0,0,1,106
51,1,0,0,0,0,0,0,98
53,0,1,0,0,0,0,5,188
53,1,0,0,0,0,0,2,168
55,0,0,1,0,0,0,0,121
55,1,0,0,0,0,0,2,124
56,0,0,0,0,0,1,4,398
56,1,0,0,0,0,0,4,394
